Folder name,Folder color,Latitude,Longitude,Title,Description,Color,Phone number,Timestamp,Pin icon code
,71b300,50.19459397201074,14.67227874643637,Bazilika svatého Václava,,00bcd4,,2023-11-05T09:44:07Z,732
,71b300,50.19603694451908,14.676565967733582,Kostel Nanebevzetí Panny Marie,,00bcd4,,2023-11-05T09:33:14Z,732
